id	group	title	verdict	routing_class	confidence	basis
143	G1	Wire up STRIPE_CONNECT_WEBHOOK_SECRET in environment so the new webhook is verified in production	NEEDS-RUNTIME(operator)	BUILD	A verified	Code side wired: webhooks.routes.ts:564 reads the secret, :42 constructEvent verifies; validate-env.ts:77 requires it. What remains is setting the var in prod.
148	G1	Apply period filtering to expert and provider earnings stats on the revenue dashboard	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	CONFIRMED: expert/provider earnings come from /api/admin/revenue/dashboard (admin.routes.ts:4685); revenue.tsx:352-353 queries it with NO period param while every sibling query carries period/startDate/endDate.
151	G1	Let admins filter the revenue export by source type (Stripe, Viator, etc.)	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Export URL carries period only - revenue.tsx:412 and :426 (`?period=${period}&format=csv|pdf`). sourceType exists in the model (revenue.tsx:122,160) but is not a filter param.
153	G1	Schedule automatic nightly reconciliation so admins don't have to trigger it manually	CLOSE-DONE	BUILD	A verified	Registered daily bucket: internal.routes.ts:177 {job:"stripe-reconciliation",bucket:"daily"}; posted by scripts/ci/post-internal-jobs.sh:306; external cron jobs-cron.yml:65. In-process timer also at server/index.ts:797.
154	G1	Show which AI agent or advisor triggered each affiliate booking in the attribution report	OPEN-VALID	BUILD	A verified	No agent/advisor attribution column in affiliate-reconciliation.service.ts; only the honest "0.00" agent-booking note at :342/:562.
216	G1	Update default commission rate in the database for existing services	CLOSE-CONFLICT	LANE-BRIEF(money §8/§14/§18/§19)	A verified	§18/MI-1 deliberately REMOVED the stamped per-service rate; charge path resolves from fee_bands. Writing a default re-opens the closed override.
217	G1	Prevent bad commission rates from being saved in the first place	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	revenueShareRate .omit() shared/schema.ts:2918 + storage strip storage.ts:2515 (§18 MI-1, two layers)
320	G1	Protect tip payouts from silent rate drift by routing them through the central fee resolver	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Tips route through the central resolver: commission.ts:276 `if (opts.category === "tip") return TIP_HANDLING_BAND` + fee-band-requirements.ts:93.
321	G1	Add an admin screen to view and edit all commission rates in one place	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	client/src/pages/admin/fee-bands.tsx — generic band editor (band_key/rate_type/max_amount, PATCH /api/admin/fee-bands)
350	G1	Add a Stripe webhook to handle optimization payment failures and refunds	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	The webhook case exists (stripe-payment.service.ts:643 -> handlePaymentFailed) but the handler destructures `bookingIds` (:926) and loops it (:934). An optimizer PI carries metadata.type="optimization_fee"+userId (optimization.routes.ts:554,559) and NO bookingIds, so it falls through unhandled.
351	G1	Show optimization fee pricing on the Pricing page so users know the cost upfront	CLOSE-DONE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	pricing.tsx:54 + :205 render optimizerRunDisplay.priceCents on the Pricing page.
383	G1	Let admins see which upsell suggestions are driving the most cart adds	OPEN-VALID	BUILD	A verified	No upsell cart-add analytics surface found in admin routes or the revenue page.
411	G1	Let wedding and corporate vendors receive real bookings and payments	OPEN-VALID+RULE	LANE-BRIEF(money §8/§14/§18/§19)	A verified	Only template/content references (anchor-suggestion.service.ts:123, content-gap-taxonomy.ts:63). Enabling vendor bookings/payments touches the money rail - needs a lane brief.
418	G1	Show a summary of add-on click performance in the admin revenue dashboard	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No add-on click performance aggregation found.
493	G1	Track insurance fees per booking so reports show real per-transaction amounts	BUILD	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No per-booking insurance amount found (0 hits insurance_fee_cents/insuranceAmount).
494	G1	Show insurance tier status in the admin fee config summary cards	OPEN-VALID	LANE-BRIEF(money §8/§14/§18/§19)	A verified	No insurance tier status in admin/fee-bands.tsx or admin/revenue.tsx.
